id,count
1255,92.0
1257,172.0
1261,132.0
1262,398.0
1265,120.0
1273,150.0
1277,278.0
1278,112.0
1280,107.0
1284,213.0
1285,324.0
1288,30.0
1295,108.0
1297,398.0
1299,239.0
1304,138.0
1308,40.0
1310,92.0
1311,221.0
1314,106.0
1315,119.0
1318,42.0
1320,335.0
1321,278.0
1322,282.0
1330,91.0
1333,152.0
1334,109.0
1341,125.0
1344,102.0
1351,109.0
1354,74.0
1356,137.0
1363,111.0
1365,213.0
1369,221.0
1373,107.0
1375,94.0
1377,80.0
1379,107.0
1380,278.0
1381,74.0
1384,151.0
1390,309.0
1393,274.0
1395,137.0
1399,277.0
1400,116.0
1401,236.0
1404,221.0
1408,2.0
1409,7.0
1413,213.0
1416,278.0
1418,92.0
1423,117.0
1424,34.0
1425,17.0
1433,219.0
1434,153.0
1436,402.0
1442,278.0
1444,78.0
1445,138.0
1452,226.0
1455,150.0
1462,137.0
1467,37.0
1472,22.0
1475,267.0
1493,86.0
1501,229.0
1503,331.0
1504,164.0
1505,14.0
1511,246.0
1512,137.0
1513,91.0
1514,34.0
1528,187.0
1533,215.0
1534,35.0
1536,124.0
1537,117.0
1539,316.0
1550,193.0
1552,198.0
1554,213.0
1555,425.0
1556,74.0
1559,7.0
1563,109.0
1566,229.0
1567,213.0
1568,46.0
1571,221.0
1572,27.0
1574,137.0
1577,14.0
1583,82.0
1585,35.0
1586,213.0
1587,151.0
1596,151.0
1602,7.0
1604,17.0
1605,33.0
1610,278.0
1611,92.0
1616,37.0
1617,92.0
1618,14.0
1622,33.0
1623,33.0
1628,278.0
1631,11.0
1632,152.0
1633,226.0
1634,280.0
1636,109.0
1637,95.0
1643,236.0
1644,92.0
1646,103.0
1648,198.0
1651,33.0
1656,22.0
1658,165.0
1659,24.0
1665,241.0
1666,165.0
1670,34.0
1674,109.0
1679,187.0
1680,304.0
1683,342.0
1686,31.0
1691,92.0
1693,33.0
1696,37.0
1697,89.0
1703,108.0
1706,31.0
1709,120.0
1710,86.0
1712,316.0
1713,214.0
1718,398.0
1719,152.0
1722,278.0
1723,214.0
1724,252.0
1728,17.0
1730,34.0
1732,19.0
1737,28.0
1745,100.0
1747,17.0
1748,2.0
1755,93.0
1759,14.0
1761,278.0
1764,315.0
1765,151.0
1766,98.0
1768,68.0
1770,35.0
1771,134.0
1774,87.0
1785,92.0
1788,173.0
1792,28.0
1794,205.0
1797,134.0
1798,17.0
1799,215.0
1802,92.0
1806,70.0
1808,103.0
1810,151.0
1818,111.0
1819,425.0
1820,278.0
1822,205.0
1826,109.0
1827,109.0
1835,24.0
1841,94.0
1842,42.0
1843,24.0
1846,53.0
1849,41.0
1850,111.0
1851,267.0
1857,137.0
1858,175.0
1860,87.0
1861,213.0
1864,135.0
1869,331.0
1871,137.0
1872,15.0
1875,8.0
1878,215.0
1879,205.0
1885,94.0
1888,22.0
1889,46.0
1890,92.0
1896,109.0
1897,229.0
1898,151.0
1900,68.0
1905,7.0
1908,135.0
1909,90.0
1913,137.0
1918,79.0
1922,317.0
1923,151.0
1925,252.0
1926,339.0
1927,278.0
1930,213.0
1935,17.0
1939,75.0
1942,92.0
1943,73.0
1948,304.0
1949,278.0
1951,119.0
1953,108.0
1959,92.0
1963,24.0
1967,124.0
1973,278.0
1975,27.0
1976,91.0
1990,111.0
1993,75.0
1997,189.0
1999,151.0
2001,402.0
2004,100.0
2010,92.0
2013,91.0
2017,310.0
2021,105.0
2023,189.0
2026,153.0
2037,7.0
2039,267.0
2041,17.0
2046,28.0
2050,28.0
2060,109.0
2067,92.0
2069,199.0
2072,278.0
2074,92.0
2079,91.0
2083,24.0
2085,267.0
2087,11.0
2093,135.0
2094,32.0
2097,7.0
2103,95.0
2104,137.0
2107,126.0
2108,5.0
2110,111.0
2115,109.0
2117,34.0
2125,293.0
2127,214.0
2133,28.0
2134,425.0
2135,134.0
2141,213.0
2143,43.0
2145,75.0
2146,35.0
2147,304.0
2148,137.0
2149,137.0
2165,135.0
2166,213.0
2177,267.0
